name	tp_sum	tevo_sum
Kaiser Gerhardt	54	54
Kamakaze Tickets LLC	5916	6162
Kelaty Trading Co.	4	4
Kevin's Tickets PA	2432	2432
Key Investment Group	1515276	1528764
Lavaseats Corp	26884	30702
Live for Today Inc	20	28
Lone Star SP Productions LLC	624	620
M&J Hospitality	40	40
MAB Entertainment Inc	8256	8466
MSMSSLLC	605484	581331
Markus James Miiller	120	120
Max Ticket City	2403	2464
MaxTix Inc	9	9
Maxim Tickets	296	296
Mendel Elin	84	80
Metro Tickets-TX	1848	1848
Moonchild Ticket	160	160
Mustang Pacino Tickets	6216	6560
Muzakkir Nana	2562	2856
MyRtrmnt, LLC.	15180	15714
NDC Group Inc	441	480
NRZ Tickets	3168	3087
Neversoldout.com	24	24
Nicos Entertainment	144	144
No Fee Seats	1771	2580
North American Tix	96552	8532
PC Ticketmart	3584	3584
PSL Tickets	238	216
PerfectTix.com	16344	15496
Pointman Group	2679	2788
Precision Events Group	320	315
Premiere Tickets -MN	43680	43416
Premium Seats USA	674040	640500
Priced 2 Sell Corp	24	24
Prime Time Stubs Inc.	259150	224133
Primesport	113509	115855
Prominent Ticket Service	350	351
REPS & Company	16050	17570
Ragorp Tickets, LLC	748	1014
Rock Sports and Entertainment	405	405
Rolling Seats	17466	17550
Row 2 Tickets	1108692	1100335
Ryan Radenbaugh	144	144
S4K Entertainment	1708249	1467597
SC Entertainment LLC	774	814
Select-A-Ticket	17688	16748
Shawn Gault	54	63
Shawn Weiland	340	324
Shemaya LLC	561	594
Shimone Tickets	14445	16250
Shutfim2 Inc.	4	8
Smart Entertainment	223	8
Southland Tickets, LLC	539	572
Stagefront Tickets	123080	142776
Stars & Stripes Tickets	144	144
Stephen Holwerda	20	20
Stub Stack Tickets	640	550
StubTerminal	32	32
Stubworld	547039	566955
Superior Seats IL 	12	10
TMC - IL	5796	5616
Taka Tickets	16060	15532
The Ticket Avenue	8	8
Theatron Events	80	80
Thompson Tickets	126440	124184
Ticket Attendant, LLC	33633	20930
Ticket Boat	973896	746548
Ticket City	885	912
Ticket Head LLC	4	4
Ticket King - MN	14061842	14133545
Ticket Ninja LLC	1512	1533
Ticket Round Up	512	500
Ticket Solutions-KS	168	140
Ticket Town-NJ	2128	2112
Ticket Vulture	864	864
Ticket Warehouse-NJ	6683	6574
Ticket Wholesaler	70	70
TicketVista Inc.	974000	934378
Ticketchamp.com	8	8
Ticketivation, LLC	96	96
Tickets For Less-KS	35844	35844
Tickets Need Tickets, LLC	8010	8240
Tickets On Deck LLC 	2	2
Tickets To Go	12	12
Ticketwonders	40	38
Total Travel And Tickets	152220	150877
Two Kings Tickets	50	50
USATickets.com	283328	288477
Ultimate Event Tickets	112	112
Universal Events	3720	3822
Universal Tickets, Inc.	36	36
VIP Tickets	149207	1736
