brokerage_id	name	section	row	ticket_price	p	 	compared
9325	Eventellect	33 Field	E	4714.29	4388		0.93
9325	Eventellect	33 Field	F	4800.01	4467		0.93
9325	Eventellect	33 Field	G	4714.29	4388		0.93
9325	Eventellect	33 Field	H	4714.29	4388		0.93
9325	Eventellect	33 Field	K	4500.01	4188		0.93
9325	Eventellect	33 Field	L	4500.01	4188		0.93
9325	Eventellect	34 Field	A	4867.86	4531		0.93
9325	Eventellect	34 Field	B	4196.43	3906		0.93
9325	Eventellect	34 Field	C	4028.58	3750		0.93
9325	Eventellect	34 Field	S	3525.01	3281		0.93
9325	Eventellect	34 Field	U	3525.01	3281		0.93
9325	Eventellect	34 UR	AA	1306.08	1216		0.93
9325	Eventellect	34BL	5	7800.01	7260		0.93
9325	Eventellect	35 Field	A	4971.43	4628		0.93
9325	Eventellect	35 Field	B	4285.72	3989		0.93
9325	Eventellect	35 Field	E	3771.43	3510		0.93
9325	Eventellect	35 Field	O	3634.29	3383		0.93
9325	Eventellect	35 LR	A	1741.08	1621		0.93
9325	Eventellect	35 LR	B	1532.15	1427		0.93
9325	Eventellect	36 Field	A	4599.29	4281		0.93
9325	Eventellect	36 Field	B	4028.58	3750		0.93
9325	Eventellect	36 Field	C	3860.72	3594		0.93
9325	Eventellect	36 Field	D	3692.86	3438		0.93
9325	Eventellect	36 Field Club	5	7428.58	6914		0.93
9325	Eventellect	36 LR	A	1671.43	1557		0.93
9325	Eventellect	36 LR	B	1462.50	1362		0.93
9325	Eventellect	37 Field	A	4800.01	4467		0.93
9325	Eventellect	37 Field	B	4285.72	3989		0.93
9325	Eventellect	37 Field	C	3942.86	3671		0.93
9325	Eventellect	37 Field	G	3702.86	3447		0.93
9325	Eventellect	38 Field	A	4364.29	4063		0.93
9325	Eventellect	38 Field	B	3860.72	3594		0.93
9325	Eventellect	38 Field	C	3692.86	3438		0.93
9325	Eventellect	38 Field	E	3592.15	3344		0.93
9325	Eventellect	38 Field Club	1	10400.00	9679		0.93
9325	Eventellect	39 Field	A	4457.15	4149		0.93
9325	Eventellect	39 Field	B	3942.86	3671		0.93
9325	Eventellect	39 Field	E	3702.86	3447		0.93
9325	Eventellect	39 LR	A	1727.15	1608		0.93
9325	Eventellect	39 LR	B	1461.43	1361		0.93
9325	Eventellect	4 Field	D	6678.58	6215		0.93
9325	Eventellect	4 Field	E	6375.01	5933		0.93
9325	Eventellect	4 Field	K	6242.86	5811		0.93
9325	Eventellect	4 Field	N	5700.01	5306		0.93
9325	Eventellect	4 Field	O	5971.43	5558		0.93
9325	Eventellect	4 Field Club	JJ	15750.00	14658		0.93
9325	Eventellect	4 IR	A	2592.86	2414		0.93
9325	Eventellect	4 IR	B	2272.50	2116		0.93
9325	Eventellect	4 IR	E	2164.29	2015		0.93
9325	Eventellect	4 TD	A	1453.93	1354		0.93
9325	Eventellect	40 Field	A	3876.43	3609		0.93
9325	Eventellect	40 Field	B	3445.72	3207		0.93
9325	Eventellect	40 Field	C	3302.15	3074		0.93
9325	Eventellect	40 Field	G	3072.43	2861		0.93
9325	Eventellect	40 LR	A	1580.36	1472		0.93
9325	Eventellect	40 LR	B	1390.72	1295		0.93
9325	Eventellect	41 Field	A	4252.51	3959		0.93
9325	Eventellect	41 Field	D	3622.51	3372		0.93
9325	Eventellect	41 Field	E	3465.01	3226		0.93
9325	Eventellect	42 Field	A	3589.29	3341		0.93
9325	Eventellect	42 Field	B	3302.15	3074		0.93
9325	Eventellect	42 Field	D	3158.58	2941		0.93
9325	Eventellect	42 Field	G	3015.01	2806		0.93
9325	Eventellect	42BL	4	5714.29	5318		0.93
9325	Eventellect	43 Field	A	4095.01	3812		0.93
9325	Eventellect	43 Field	B	3622.51	3372		0.93
9325	Eventellect	43 Field	D	3402.01	3167		0.93
9325	Eventellect	43 Field	E	3402.01	3167		0.93
9325	Eventellect	43 Field	G	3307.51	3079		0.93
9325	Eventellect	43 LR	A	1594.29	1484		0.93
9325	Eventellect	44 Field	A	3342.86	3111		0.93
9325	Eventellect	44 Field	B	3064.29	2853		0.93
9325	Eventellect	44 Field	C	2925.01	2723		0.93
9325	Eventellect	44 Field Club	BB	5000.01	4654		0.93
9325	Eventellect	44 LR	A	1517.15	1413		0.93
9325	Eventellect	44 LR	B	1365.43	1272		0.93
9325	Eventellect	45 Field	A	3821.43	3558		0.93
9325	Eventellect	45 Field	B	3515.72	3273		0.93
9325	Eventellect	45 Field	C	3362.86	3131		0.93
9325	Eventellect	45 Field	J	2828.58	2633		0.93
9325	Eventellect	45 Field	K	2828.58	2633		0.93
9325	Eventellect	45 Field	O	2622.86	2441		0.93
9325	Eventellect	45 Field Club	CC	5250.01	4887		0.93
9325	Eventellect	46 Field	A	3085.72	2873		0.93
9325	Eventellect	46 Field	B	2742.86	2553		0.93
9325	Eventellect	46 Field	C	2560.01	2384		0.93
9325	Eventellect	46 UR	DD	1221.43	1137		0.93
9325	Eventellect	47 Field	A	3326.79	3097		0.93
9325	Eventellect	47 Field	B	2957.15	2753		0.93
9325	Eventellect	47 Field	C	2710.72	2524		0.93
9325	Eventellect	47 LR	A	1517.15	1413		0.93
9325	Eventellect	48 Field	A	3052.01	2841		0.93
9325	Eventellect	48 Field	AA	3870.01	3603		0.93
9325	Eventellect	48 Field	B	2616.01	2436		0.93
9325	Eventellect	48 Field	C	2485.20	2314		0.93
9325	Eventellect	48 LR	A	1453.93	1354		0.93
9325	Eventellect	49 Field	A	3340.01	3109		0.93
9325	Eventellect	49 Field	AA	4257.01	3962		0.93
9325	Eventellect	49 Field	B	2934.43	2732		0.93
9325	Eventellect	49 Field	C	2743.58	2554		0.93
9325	Eventellect	49 UR	AA	1270.50	1184		0.93
9325	Eventellect	5 Field	B	6982.15	6498		0.93
9325	Eventellect	5 Field	E	6496.43	6046		0.93
9325	Eventellect	5 Field	R	5700.01	5306		0.93
9325	Eventellect	5 IR	A	2592.86	2414		0.93
9325	Eventellect	5 IR	E	2164.29	2015		0.93
9325	Eventellect	5 TD	A	1580.36	1472		0.93
9325	Eventellect	5 TD	B	1327.50	1237		0.93
9325	Eventellect	50 Field	A	2943.01	2740		0.93
9325	Eventellect	50 Field	AA	4257.01	3962		0.93
9325	Eventellect	50 Field	B	2507.01	2334		0.93
9325	Eventellect	50 UR	AA	1301.15	1212		0.93
9325	Eventellect	50 UR	BB	1138.50	1060		0.93
9325	Eventellect	50 UR	FF	1138.50	1060		0.93
9325	Eventellect	51 Field	A	3268.43	3042		0.93
9325	Eventellect	51 Field	AA	4644.01	4323		0.93
