brokerage_id	name	entries	tp_sum	tevo_sum
9699	Hi Line Seats LLC	4	24	24
675	High Vibe Tickets	1	2	2
10240	Houston Ticket Store	1	2	2
9178	I NEED TICKETS	5	20	18
1109	Independent Broker Tickets	1	2	2
9804	J&A Real Estate Team, Inc	3	12	12
30	J.A.J. Executive Services, LLC	266	1230	1230
9275	JAJ NYC	26	102	100
1392	Jeffrey Jenkins	7	24	20
1692	JegyTix LLC	2	3	2
402	Jock Rock Tickets	1	3	3
9065	Joe Knows Tickets	58	192	66
9635	Joshua Alan Smith	2	8	8
11498	K6 Tech LLC	16	96	96
9134	KP3 Endeavors, Inc.	646	1919	1919
9683	Kaiser Gerhardt	3	18	18
9327	Kamakaze Tickets LLC	26	116	116
1375	Kelaty Trading Co.	1	4	4
1849	Kevin's Tickets PA	16	128	128
9119	Key Investment Group	667	1764	1761
9135	Lavaseats Corp	43	611	589
9522	Live for Today Inc	2	4	4
9087	Lone Star SP Productions LLC	10	48	48
9061	M&J Hospitality	1	4	4
1700	MAB Entertainment Inc	52	176	170
9210	MSMSSLLC	321	2178	1756
9735	Markus James Miiller	6	20	20
9783	Max Ticket City	28	89	88
9130	MaxTix Inc	1	3	3
87	Maxim Tickets	8	37	37
9304	Mendel Elin	5	14	14
44	Metro Tickets-TX	21	88	88
1331	Moonchild Ticket	4	32	32
1260	Mustang Pacino Tickets	40	111	111
2406	Muzakkir Nana	34	122	78
1634	MyRtrmnt, LLC.	54	220	200
9082	NDC Group Inc	16	63	14
1402	NRZ Tickets	21	72	58
31	Neversoldout.com	3	6	6
60	Nicos Entertainment	8	16	16
11700	No Fee Seats	6	11	11
240	North American Tix	54	1788	146
9207	PC Ticketmart	32	112	112
138	PSL Tickets	3	14	14
714	PerfectTix.com	52	227	227
9776	Pointman Group	41	57	57
9365	Precision Events Group	7	32	30
10016	Premiere Tickets -MN	72	560	560
9521	Premium Seats USA	380	1960	1960
1805	Priced 2 Sell Corp	2	12	12
10838	Prime Time Stubs Inc.	273	1775	814
90	Primesport	145	607	607
13	Prominent Ticket Service	9	35	35
9255	REPS & Company	35	150	124
1252	Ragorp Tickets, LLC	6	17	5
11476	Rock Sports and Entertainment	9	45	45
9095	Rolling Seats	75	246	234
10268	Row 2 Tickets	359	1794	1657
9873	Ryan Radenbaugh	9	18	16
9397	S4K Entertainment	251	1307	604
9206	SC Entertainment LLC	11	86	74
14	Select-A-Ticket	53	264	264
2606	Shawn Gault	1	2	2
9476	Shawn Weiland	9	34	34
9283	Shemaya LLC	11	33	33
407	Shimone Tickets	65	321	224
1570	Shutfim2 Inc.	1	2	2
128	Smart Entertainment	2	223	4
464	Southland Tickets, LLC	11	77	52
25	Stagefront Tickets	54	170	122
1618	Stars & Stripes Tickets	8	16	16
9720	Stephen Holwerda	2	10	10
10196	Stub Stack Tickets	10	32	32
77	StubTerminal	4	8	8
223	Stubworld	293	1933	1918
9333	Superior Seats IL 	1	4	4
1455	TMC - IL	36	138	138
1960	Taka Tickets	44	220	218
1913	The Ticket Avenue	2	4	4
95	Theatron Events	4	20	20
9142	Thompson Tickets	152	580	564
9370	Ticket Attendant, LLC	13	101	101
109	Ticket Boat	418	2387	1751
10138	Ticket City	16	59	57
9416	Ticket Head LLC	1	4	4
83	Ticket King - MN	1445	9638	9618
1897	Ticket Ninja LLC	21	63	63
82	Ticket Round Up	10	32	29
129	Ticket Solutions-KS	7	24	2
912	Ticket Town-NJ	16	112	112
2583	Ticket Vulture	16	48	48
228	Ticket Warehouse-NJ	38	163	163
10070	Ticket Wholesaler	5	14	14
9013	TicketVista Inc.	151	1054	624
9037	TicketVista Inc.	238	946	933
10066	Ticketchamp.com	1	4	4
1993	Ticketivation, LLC	4	24	24
10226	Tickets For Less-KS	103	348	348
9702	Tickets Need Tickets, LLC	40	178	177
9410	Tickets On Deck LLC 	1	2	2
523	Tickets To Go	2	6	6
1283	Ticketwonders	2	8	8
9404	Total Travel And Tickets	157	885	885
412	Two Kings Tickets	5	10	8
97	USATickets.com	241	932	932
93	Ultimate Event Tickets	7	14	14
92	Universal Events	26	120	118
1330	Universal Tickets, Inc.	3	12	12
112	VIP Tickets	31	7853	56
9354	Vegas Tickets LLC	1	6	6
130	Venue Kings	2460	8557	343
9495	VenueLink LLN	3989	17782	9861
2264	Victory Tickets - TX	9	14	14
10811	WebTixDirect.com	3	11	11
9485	Will To Independent Living, Inc	3	18	18
11357	World Ticket Company	2	10	10
2	Worldwide Tickets	6	24	20
1877	Wtby Homes LLc	17	101	91
1905	Yaakov Chase	4	16	16
9025	Your Ticket Shop Inc.	19	52	49
11614	ZeroNoseBleeds.com	2	6	6
1700	Zvents, Inc.	52	176	170
2524	bKr Group llc	4	14	12
