broker_name	remote_id	ticket_section	ticket_row	ticket_count	ticket_price	event_name	event_occurs_at
Aaron Lowinger Ticketing LLC	115471027	330	14	6	96.46	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115471038	333	9	8	98.58	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115471060	334	11	3	89.04	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115471072	330	14	3	85.86	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115471083	126	28	2	121.90	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115471990	U	2	4	132.50	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115472215	124	32	2	135.68	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	115472335	127	12	3	132.50	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	117426264	103	37	2	132.50	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	117426274	120	22	3	169.60	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	117426283	333	9	3	92.22	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	117426292	333	16	5	94.34	ALDS: New York Yankees at Minnesota Twins (Game 4 - Home Game 2) (If Necessary)	2019-10-08
Aaron Lowinger Ticketing LLC	113566653	202	16	4	206.70	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566664	209	9	9	249.10	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566675	210	12	4	238.50	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566686	214A	12	4	359.34	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566700	224	3	4	512.40	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566711	412	1	8	185.50	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566723	413	2	3	180.20	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566734	415	2	12	188.68	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566745	415	8	3	162.18	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566756	415	9	3	159.00	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566767	415	10	16	174.90	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566778	415	11	8	168.54	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566789	416	2	6	184.44	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566802	416	9	8	171.72	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566813	417	10	5	159.00	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566826	418	2	9	192.92	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
